,state,action,reward,value
363,"(5, 3)",up,-0.2360679774997898,0.038386478878099865
364,"(5, 3)",down,-0.2360679774997898,3.287155390965562
365,"(5, 3)",left,-1.0,-0.15142974365972245
366,"(5, 3)",right,1.0,40.74874278667163
367,"(5, 3)",upper-left,-1.1622776601683795,1.114502547881237
368,"(5, 3)",upper-right,0.5857864376269049,0.4189934397807137
369,"(5, 3)",lower-left,-1.1622776601683795,1.0590577722132843
370,"(5, 3)",lower-right,0.5857864376269049,2.8930971846946383
371,"(5, 4)",up,-0.41421356237309515,52.86218235950646
372,"(5, 4)",down,-0.41421356237309515,43.46482520792162
373,"(5, 4)",left,-1.0,1.4151441767230852
374,"(5, 4)",right,10.0,457.90076513961185
375,"(5, 4)",upper-left,-1.2360679774997898,41.136286414497334
376,"(5, 4)",upper-right,-0.0,3.3904468867671147
377,"(5, 4)",lower-left,-1.2360679774997898,25.12838945525391
378,"(5, 4)",lower-right,-0.0,96.57032610906126
379,"(5, 6)",up,-0.41421356237309515,51.26873074439245
380,"(5, 6)",down,-0.41421356237309515,-0.07870057685088808
381,"(5, 6)",left,10.0,523.5396390044388
382,"(5, 6)",right,-1.0,27.481841745069893
383,"(5, 6)",upper-left,-0.0,46.98836566776539
384,"(5, 6)",upper-right,-1.2360679774997898,47.303310940768526
385,"(5, 6)",lower-left,-0.0,2.8655827363403175
386,"(5, 6)",lower-right,-1.2360679774997898,25.597580897004757
387,"(5, 7)",up,-0.2360679774997898,0.11225616787085227
388,"(5, 7)",down,-0.2360679774997898,-0.013132668462460851
389,"(5, 7)",left,1.0,46.720690097855545
390,"(5, 7)",right,-1.0,10.797743380123126
391,"(5, 7)",upper-left,0.5857864376269049,3.976185909595535
392,"(5, 7)",upper-right,-1.1622776601683795,3.8515810692283496
393,"(5, 7)",lower-left,0.5857864376269049,0.0
394,"(5, 7)",lower-right,-1.1622776601683795,-0.2927904359992901
395,"(5, 8)",up,-0.16227766016837952,0.021238148264797904
396,"(5, 8)",down,-0.16227766016837952,1.7563025126388723
397,"(5, 8)",left,1.0,1.6945069445051666
398,"(5, 8)",right,-1.0,-0.23540129494097894
399,"(5, 8)",upper-left,0.7639320225002102,16.066451219574695
400,"(5, 8)",upper-right,-1.1231056256176606,-0.16957724608770525
401,"(5, 8)",lower-left,0.7639320225002102,0.21904562350198456
402,"(5, 8)",lower-right,-1.1231056256176606,-0.4732326927688029
403,"(5, 9)",up,-0.12310562561766059,0.5547640943446589
404,"(5, 9)",down,-0.12310562561766059,0.05424003060673752
405,"(5, 9)",left,1.0,0.2571507636362414
406,"(5, 9)",upper-left,0.8377223398316205,8.136806942274923
407,"(5, 9)",lower-left,0.8377223398316205,0.09367223398316205
408,"(6, 0)",up,0.09901951359278449,0.0683429384828238
